UniqId,Position,Block,Trt,LorR,Species,ML,Combos,Of_exp,Seed_Number
503L,503,3,Inter,L,H,Ihed-4.2,Ihed-4.2-Ip-4.12,O,755
503R,503,3,Inter,R,P,Ip-4.12,Ihed-4.2-Ip-4.12,O,243
507L,507,3,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.18,R,24
507R,507,3,Inter,R,P,Ip-4.18,Ihed-4.4-Ip-4.18,R,292
50L,50,1,Intra,L,H,Ihed-4.4,Ihed-4.2-Ihed-4.4,R,47
50R,50,1,Intra,R,H,Ihed-4.2,Ihed-4.2-Ihed-4.4,R,64
513L,513,3,Inter,L,P,Ip-4.13,Ihed-4.7-Ip-4.13,O,1029
513R,513,3,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.13,O,467
514L,514,3,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.4,R,96
514R,514,3,Intra,R,H,Ihed-4.4,Ihed-4.1-Ihed-4.4,R,92
51L,51,1,Intra,L,H,Ihed-4.15,Ihed-4.15-Ihed-4.7,R,112
51R,51,1,Intra,R,H,Ihed-4.7,Ihed-4.15-Ihed-4.7,R,153
522L,522,3,Alone,L,H,Ihed-4.2,Ihed-4.2,O,948
524L,524,3,Alone,L,P,Ip-4.15,Ip-4.15,R,329
527L,527,3,Alone,L,H,Ihed-4.1,Ihed-4.1,R,25
529L,529,3,Inter,L,P,Ip-4.15,Ihed-4.7-Ip-4.15,O,2380
529R,529,3,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.15,O,1495
52L,52,1,Inter,L,H,Ihed-4.15,Ihed-4.15-Ip-4.13,R,41
52R,52,1,Inter,R,P,Ip-4.13,Ihed-4.15-Ip-4.13,R,40
534L,534,3,Alone,L,P,Ip-4.11,Ip-4.11,O,1210
538L,538,3,Intra,L,H,Ihed-4.3,Ihed-4.1-Ihed-4.3,R,107
538R,538,3,Intra,R,H,Ihed-4.1,Ihed-4.1-Ihed-4.3,R,66
539L,539,3,Alone,L,H,Ihed-4.1,Ihed-4.1,O,782
540L,540,3,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.13,R,63
540R,540,3,Inter,R,P,Ip-4.13,Ihed-4.4-Ip-4.13,R,56
543L,543,3,Alone,L,H,Ihed-4.12,Ihed-4.12,O,1409
544L,544,3,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.9,R,130
544R,544,3,Intra,R,H,Ihed-4.9,Ihed-4.1-Ihed-4.9,R,137
545L,545,3,Intra,L,H,Ihed-4.15,Ihed-4.12-Ihed-4.15,R,176
545R,545,3,Intra,R,H,Ihed-4.12,Ihed-4.12-Ihed-4.15,R,434
554L,554,3,Inter,L,P,Ip-4.11,Ihed-4.3-Ip-4.11,O,1649
554R,554,3,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.11,O,1087
557L,557,3,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.13,O,2456
557R,557,3,Inter,R,P,Ip-4.13,Ihed-4.9-Ip-4.13,O,864.5
558L,558,3,Intra,L,H,Ihed-4.9,Ihed-4.3-Ihed-4.9,R,254
558R,558,3,Intra,R,H,Ihed-4.3,Ihed-4.3-Ihed-4.9,R,85
560L,560,3,Intra,L,H,Ihed-4.3,Ihed-4.15-Ihed-4.3,O,1446
563L,563,3,Intra,L,H,Ihed-4.3,Ihed-4.2-Ihed-4.3,O,1004
563R,563,3,Intra,R,H,Ihed-4.2,Ihed-4.2-Ihed-4.3,O,1791
565L,565,3,Intra,L,H,Ihed-4.7,Ihed-4.12-Ihed-4.7,R,142
572L,572,3,Alone,L,P,Ip-4.14,Ip-4.14,O,1911
574L,574,3,Inter,L,P,Ip-4.11,Ihed-4.4-Ip-4.11,R,547
574R,574,3,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.11,R,212
575L,575,3,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.17,O,1289
575R,575,3,Inter,R,P,Ip-4.17,Ihed-4.7-Ip-4.17,O,1883
577L,577,3,Inter,L,H,Ihed-4.1,Ihed-4.1-Ip-4.17,O,563
577R,577,3,Inter,R,P,Ip-4.17,Ihed-4.1-Ip-4.17,O,1775
578L,578,3,Alone,L,H,Ihed-4.7,Ihed-4.7,O,1316
581L,581,3,Alone,L,P,Ip-4.13,Ip-4.13,R,38
584L,584,3,Alone,L,P,Ip-4.16,Ip-4.16,R,299
585L,585,3,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.17,R,176
585R,585,3,Inter,R,P,Ip-4.17,Ihed-4.4-Ip-4.17,R,444
587L,587,3,Intra,L,H,Ihed-4.15,Ihed-4.15-Ihed-4.7,O,257
587R,587,3,Intra,R,H,Ihed-4.7,Ihed-4.15-Ihed-4.7,O,452
588L,588,3,Inter,L,P,Ip-4.16,Ihed-4.2-Ip-4.16,O,3279
588R,588,3,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.16,O,1732
591L,591,3,Inter,L,P,Ip-4.15,Ihed-4.12-Ip-4.15,R,337
591R,591,3,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.15,R,32
595L,595,3,Alone,L,H,Ihed-4.1,Ihed-4.1,O,1956
598L,598,3,Alone,L,P,Ip-4.12,Ip-4.12,O,1
59L,59,1,Intra,L,H,Ihed-4.12,Ihed-4.12-Ihed-4.7,O,765
59R,59,1,Intra,R,H,Ihed-4.7,Ihed-4.12-Ihed-4.7,O,517
600L,600,3,Inter,L,P,Ip-4.16,Ihed-4.15-Ip-4.16,R,229
600R,600,3,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.16,R,132
602L,602,3,Alone,L,H,Ihed-4.1,Ihed-4.1,O,121
604R,604,3,Alone,R,H,Ihed-4.15,Ihed-4.15,R,254
607L,607,3,Inter,L,P,Ip-4.12,Ihed-4.7-Ip-4.12,O,1297
607R,607,3,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.12,O,1141
609L,609,3,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.13,R,197
609R,609,3,Inter,R,P,Ip-4.13,Ihed-4.12-Ip-4.13,R,250
610L,610,3,Intra,L,H,Ihed-4.2,Ihed-4.2,O,1527
611L,611,3,Alone,L,H,Ihed-4.9,Ihed-4.9,R,237
612L,612,3,Intra,L,H,Ihed-4.9,Ihed-4.12-Ihed-4.9,R,555
612R,612,3,Intra,R,H,Ihed-4.12,Ihed-4.12-Ihed-4.9,R,345
613L,613,3,Alone,L,H,Ihed-4.2,Ihed-4.2,R,420
614L,614,3,Inter,L,P,Ip-4.12,Ihed-4.9-Ip-4.12,R,2
614R,614,3,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.12,R,479
615L,615,3,Intra,L,H,Ihed-4.4,Ihed-4.12-Ihed-4.4,R,467
615R,615,3,Intra,R,H,Ihed-4.12,Ihed-4.12-Ihed-4.4,R,444
617L,617,3,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.11,R,96
617R,617,3,Inter,R,P,Ip-4.11,Ihed-4.12-Ip-4.11,R,711
618L,618,3,Intra,L,H,Ihed-4.4,Ihed-4.15-Ihed-4.4,R,255
618R,618,3,Intra,R,H,Ihed-4.15,Ihed-4.15-Ihed-4.4,R,228
619L,619,3,Inter,L,P,Ip-4.15,Ihed-4.1-Ip-4.15,R,155
619R,619,3,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.15,R,308
620R,620,3,Alone,R,P,Ip-4.17,Ip-4.17,R,257
623L,623,3,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.7,R,264
625L,625,3,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.14,R,268
625R,625,3,Inter,R,P,Ip-4.14,Ihed-4.4-Ip-4.14,R,456
626L,626,3,Alone,L,H,Ihed-4.7,Ihed-4.7,R,80
627L,627,3,Inter,L,P,Ip-4.14,Ihed-4.15-Ip-4.14,R,188
627R,627,3,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.14,R,223
628L,628,3,Inter,L,H,Ihed-4.15,Ihed-4.15-Ip-4.13,R,182
628R,628,3,Inter,R,P,Ip-4.13,Ihed-4.15-Ip-4.13,R,401
629L,629,3,Intra,L,H,Ihed-4.15,Ihed-4.15-Ihed-4.9,R,95
629R,629,3,Intra,R,H,Ihed-4.9,Ihed-4.15-Ihed-4.9,R,306
630L,630,3,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.4,R,319
630R,630,3,Intra,R,H,Ihed-4.4,Ihed-4.1-Ihed-4.4,R,210
631L,631,3,Alone,L,H,Ihed-4.15,Ihed-4.15,R,36
632L,632,3,Inter,L,P,Ip-4.13,Ihed-4.1-Ip-4.13,R,91
632R,632,3,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.13,R,354
633L,633,3,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.7,R,143
633R,633,3,Intra,R,H,Ihed-4.7,Ihed-4.1-Ihed-4.7,R,248
634L,634,3,Inter,L,P,Ip-4.12,Ihed-4.12-Ip-4.12,R,27
634R,634,3,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.12,R,221
637L,637,3,Intra,L,H,Ihed-4.15,Ihed-4.15-Ihed-4.2,R,80
637R,637,3,Intra,R,H,Ihed-4.2,Ihed-4.15-Ihed-4.2,R,87
638L,638,3,Inter,L,P,Ip-4.14,Ihed-4.3-Ip-4.14,R,431
638R,638,3,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.14,R,382
640L,640,3,Inter,L,P,Ip-4.11,Ihed-4.9-Ip-4.11,R,165
640R,640,3,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.11,R,246
641L,641,3,Inter,L,P,Ip-4.18,Ihed-4.7-Ip-4.18,R,601
641R,641,3,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.18,R,485
643L,643,3,Alone,L,H,Ihed-4.1,Ihed-4.1,R,796
646L,646,3,Alone,L,P,Ip-4.14,Ip-4.14,O,1941
647L,647,3,Inter,L,P,Ip-4.11,Ihed-4.15-Ip-4.11,R,608
647R,647,3,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.11,R,181
649L,649,3,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.14,R,283
649R,649,3,Inter,R,P,Ip-4.14,Ihed-4.9-Ip-4.14,R,232
650L,650,3,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.15,R,313
650R,650,3,Inter,R,P,Ip-4.15,Ihed-4.9-Ip-4.15,R,349
651L,651,3,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.12,R,527
651R,651,3,Intra,R,H,Ihed-4.12,Ihed-4.1-Ihed-4.12,R,633
652L,652,3,Intra,L,H,Ihed-4.12,Ihed-4.1-Ihed-4.12,R,310
652R,652,3,Intra,R,H,Ihed-4.1,Ihed-4.1-Ihed-4.12,R,292
654L,654,3,Inter,L,H,Ihed-4.2,Ihed-4.2-Ip-4.14,R,332
654R,654,3,Inter,R,P,Ip-4.14,Ihed-4.2-Ip-4.14,R,167
655L,655,3,Intra,L,H,Ihed-4.3,Ihed-4.3-Ihed-4.3,R,175
655R,655,3,Intra,R,H,Ihed-4.3,Ihed-4.3-Ihed-4.3,R,181
656L,656,3,Intra,L,H,Ihed-4.2,Ihed-4.2-Ihed-4.7,R,89
656R,656,3,Intra,R,H,Ihed-4.7,Ihed-4.2-Ihed-4.7,R,173
657L,657,3,Alone,L,P,Ip-4.15,Ip-4.15,R,238
65R,65,1,Alone,R,P,Ip-4.11,Ip-4.11,R,39
661L,661,3,Inter,L,H,Ihed-4.2,Ihed-4.2-Ip-4.11,R,190
662L,662,3,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.1,R,510
663L,663,3,Inter,L,P,Ip-4.18,Ihed-4.9-Ip-4.18,R,240
665R,665,3,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.15,R,235
666L,666,3,Alone,L,P,Ip-4.12,Ip-4.12,R,631
667L,667,3,Alone,L,H,Ihed-4.3,Ihed-4.3,R,298
668L,668,3,Alone,L,P,Ip-4.16,Ip-4.16,R,588
669L,669,3,Inter,L,P,Ip-4.15,Ihed-4.4-Ip-4.15,O,2786
669R,669,3,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.15,O,1926
670L,670,3,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.15,R,275
670R,670,3,Inter,R,P,Ip-4.15,Ihed-4.4-Ip-4.15,R,438
671L,671,3,Inter,L,P,Ip-4.15,Ihed-4.2-Ip-4.15,R,316
671R,671,3,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.15,R,115
675L,675,3,Inter,L,H,Ihed-4.1,Ihed-4.1-Ip-4.18,R,104
675R,675,3,Inter,R,P,Ip-4.18,Ihed-4.1-Ip-4.18,R,406
676L,676,3,Intra,L,H,Ihed-4.3,Ihed-4.3-Ihed-4.4,R,235
676R,676,3,Intra,R,H,Ihed-4.4,Ihed-4.3-Ihed-4.4,R,84
678L,678,3,Inter,L,H,Ihed-4.15,Ihed-4.15-Ip-4.15,R,359
678R,678,3,Inter,R,P,Ip-4.15,Ihed-4.15-Ip-4.15,R,683
679L,679,3,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.12,R,289
679R,679,3,Inter,R,P,Ip-4.12,Ihed-4.4-Ip-4.12,R,499
67L,67,1,Intra,L,H,Ihed-4.7,Ihed-4.1-Ihed-4.7,O,117
67R,67,1,Intra,R,H,Ihed-4.1,Ihed-4.1-Ihed-4.7,O,240
682L,682,3,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.17,R,186
682R,682,3,Inter,R,P,Ip-4.17,Ihed-4.7-Ip-4.17,R,311
685L,685,3,Inter,L,P,Ip-4.17,Ihed-4.12-Ip-4.17,R,219
685R,685,3,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.17,R,198
687L,687,3,Alone,L,H,Ihed-4.9,Ihed-4.9,R,366
68L,68,1,Alone,L,H,Ihed-4.2,Ihed-4.2,O,571
690L,690,3,Inter,L,P,Ip-4.18,Ihed-4.1-Ip-4.18,R,49
690R,690,3,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.18,R,219
691R,691,3,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.15,R,231
692R,692,3,Alone,R,H,Ihed-4.12,Ihed-4.12,O,241
693L,693,3,Alone,L,H,Ihed-4.1,Ihed-4.1,R,428
694L,694,3,Intra,L,H,Ihed-4.9,Ihed-4.15-Ihed-4.9,R,405
694R,694,3,Intra,R,H,Ihed-4.15,Ihed-4.15-Ihed-4.9,R,240
696R,696,3,Inter,R,P,Ip-4.11,Ihed-4.15-Ip-4.11,R,780
697L,697,3,Intra,L,H,Ihed-4.7,Ihed-4.4-Ihed-4.7,R,312
697R,697,3,Intra,R,H,Ihed-4.4,Ihed-4.4-Ihed-4.7,R,395
700L,700,3,Inter,L,P,Ip-4.17,Ihed-4.12-Ip-4.17,R,271
700R,700,3,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.17,R,88
702L,702,3,Inter,L,P,Ip-4.12,Ihed-4.3-Ip-4.12,R,214
702R,702,3,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.12,R,225
703L,703,3,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.15,R,212
703R,703,3,Intra,R,H,Ihed-4.15,Ihed-4.1-Ihed-4.15,R,287
704L,704,3,Alone,L,H,Ihed-4.12,Ihed-4.12,R,769
705L,705,3,Alone,L,H,Ihed-4.4,Ihed-4.4,R,434
706L,706,3,Inter,L,P,Ip-4.18,Ihed-4.3-Ip-4.18,R,92
706R,706,3,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.18,R,393
707L,707,3,Alone,L,P,Ip-4.18,Ip-4.18,R,129
709L,709,3,Inter,L,P,Ip-4.16,Ihed-4.3-Ip-4.16,O,244
709R,709,3,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.16,O,227
710L,710,3,Inter,L,P,Ip-4.14,Ihed-4.7-Ip-4.14,R,240
710R,710,3,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.14,R,105
711L,711,3,Inter,L,P,Ip-4.16,Ihed-4.9-Ip-4.16,R,303
711R,711,3,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.16,R,456
712L,712,4,Alone,L,H,Ihed-4.12,Ihed-4.12,R,473
718L,718,4,Intra,L,H,Ihed-4.4,Ihed-4.15-Ihed-4.4,R,954
718R,718,4,Intra,R,H,Ihed-4.15,Ihed-4.15-Ihed-4.4,R,718
721L,721,4,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.15,R,183
723L,723,4,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.17,R,302
723R,723,4,Inter,R,P,Ip-4.17,Ihed-4.9-Ip-4.17,R,168
725L,725,4,Intra,L,H,Ihed-4.2,Ihed-4.2-Ihed-4.9,O,133
725R,725,4,Intra,R,H,Ihed-4.9,Ihed-4.2-Ihed-4.9,O,1678
726L,726,4,Intra,L,H,Ihed-4.2,Ihed-4.2-Ihed-4.4,R,318
726R,726,4,Intra,R,H,Ihed-4.4,Ihed-4.2-Ihed-4.4,R,418
728L,728,4,Inter,L,P,Ip-4.16,Ihed-4.4-Ip-4.16,O,1796
728R,728,4,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.16,O,1384
730L,730,4,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.4,O,2215
732L,732,4,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.11,R,515
732R,732,4,Inter,R,P,Ip-4.11,Ihed-4.7-Ip-4.11,R,239
733R,733,4,Alone,R,P,Ip-4.13,Ip-4.13,R,258
736L,736,4,Alone,L,H,Ihed-4.2,Ihed-4.2,R,84
737L,737,4,Intra,L,H,Ihed-4.12,Ihed-4.12-Ihed-4.15,R,108
737R,737,4,Intra,R,H,Ihed-4.15,Ihed-4.12-Ihed-4.15,R,150
738R,738,4,Alone,R,H,Ihed-4.15,Ihed-4.15,R,101
739L,739,4,Alone,L,H,Ihed-4.7,Ihed-4.7,O,3627
743L,743,4,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.11,O,1275
743R,743,4,Inter,R,P,Ip-4.11,Ihed-4.9-Ip-4.11,O,912
747L,747,4,Inter,L,P,Ip-4.12,Ihed-4.15-Ip-4.12,R,550
747R,747,4,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.12,R,472
749L,749,4,Alone,L,H,Ihed-4.4,Ihed-4.4,O,2136
74L,74,1,Intra,L,H,Ihed-4.12,Ihed-4.1-Ihed-4.12,O,775
74R,74,1,Intra,R,H,Ihed-4.1,Ihed-4.1-Ihed-4.12,O,619
752R,752,4,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.11,O,893
753L,753,4,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.16,R,158
753R,753,4,Inter,R,P,Ip-4.16,Ihed-4.12-Ip-4.16,R,455
756L,756,4,Intra,L,H,Ihed-4.7,Ihed-4.12-Ihed-4.7,O,2722
756R,756,4,Intra,R,H,Ihed-4.12,Ihed-4.12-Ihed-4.7,O,150
759L,759,4,Intra,L,H,Ihed-4.3,Ihed-4.3-Ihed-4.7,R,206
759R,759,4,Intra,R,H,Ihed-4.7,Ihed-4.3-Ihed-4.7,R,304
75L,75,1,Inter,L,H,Ihed-4.15,Ihed-4.15-Ip-4.16,R,51
75R,75,1,Inter,R,P,Ip-4.16,Ihed-4.15-Ip-4.16,R,183
760L,760,4,Inter,L,P,Ip-4.15,Ihed-4.3-Ip-4.15,R,475
760R,760,4,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.15,R,209
761L,761,4,Inter,L,P,Ip-4.17,Ihed-4.4-Ip-4.17,R,609
761R,761,4,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.17,R,426
762L,762,4,Inter,L,P,Ip-4.13,Ihed-4.1-Ip-4.13,O,615
762R,762,4,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.13,O,666
763L,763,4,Inter,L,P,Ip-4.17,Ihed-4.1-Ip-4.17,R,222
763R,763,4,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.17,R,189
764L,764,4,Alone,L,H,Ihed-4.4,Ihed-4.4,O,1091
765L,765,4,Alone,L,H,Ihed-4.3,Ihed-4.3,O,1428
768L,768,4,Intra,L,H,Ihed-4.4,Ihed-4.3-Ihed-4.4,R,592
768R,768,4,Intra,R,H,Ihed-4.3,Ihed-4.3-Ihed-4.4,R,1014
776L,776,4,Inter,L,P,Ip-4.13,Ihed-4.3-Ip-4.13,R,327
776R,776,4,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.13,R,175
780L,780,4,Intra,L,H,Ihed-4.15,Ihed-4.15-Ihed-4.2,O,1477
780R,780,4,Intra,R,H,Ihed-4.2,Ihed-4.15-Ihed-4.2,O,1543
783L,783,4,Inter,L,P,Ip-4.14,Ihed-4.2-Ip-4.14,R,412
783R,783,4,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.14,R,91
784L,784,4,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.3,R,461
784R,784,4,Intra,R,H,Ihed-4.3,Ihed-4.1-Ihed-4.3,R,155
785L,785,4,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.16,O,2589
785R,785,4,Inter,R,P,Ip-4.16,Ihed-4.9-Ip-4.16,O,939
787L,787,4,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.12,R,349
788L,788,4,Intra,L,H,Ihed-4.4,Ihed-4.4-Ihed-4.7,R,334
788R,788,4,Intra,R,H,Ihed-4.7,Ihed-4.4-Ihed-4.7,R,198
790L,790,4,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.15,R,234
790R,790,4,Inter,R,P,Ip-4.15,Ihed-4.9-Ip-4.15,R,231
792L,792,4,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.16,R,299
792R,792,4,Inter,R,P,Ip-4.16,Ihed-4.9-Ip-4.16,R,241
794L,794,4,Inter,L,H,Ihed-4.1,Ihed-4.1-Ip-4.12,O,1189
794R,794,4,Inter,R,P,Ip-4.12,Ihed-4.1-Ip-4.12,O,3558
796L,796,4,Inter,L,H,Ihed-4.2,Ihed-4.2-Ip-4.17,R,662
796R,796,4,Inter,R,P,Ip-4.17,Ihed-4.2-Ip-4.17,R,1047
798L,798,4,Alone,L,P,Ip-4.13,Ip-4.13,R,1027
799L,799,4,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.13,R,1186
799R,799,4,Inter,R,P,Ip-4.13,Ihed-4.12-Ip-4.13,R,1838
79L,79,1,Intra,L,H,Ihed-4.7,Ihed-4.3-Ihed-4.7,O,1158
79R,79,1,Intra,R,H,Ihed-4.3,Ihed-4.3-Ihed-4.7,O,791
810L,810,4,Inter,L,P,Ip-4.16,Ihed-4.1-Ip-4.16,O,2279
810R,810,4,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.16,O,2498
813L,813,4,Intra,L,H,Ihed-4.4,Ihed-4.12-Ihed-4.4,R,700
813R,813,4,Intra,R,H,Ihed-4.12,Ihed-4.12-Ihed-4.4,R,550
814L,814,4,Alone,L,P,Ip-4.17,Ip-4.17,O,2475
816L,816,4,Intra,L,H,Ihed-4.2,Ihed-4.12-Ihed-4.2,R,380
816R,816,4,Intra,R,H,Ihed-4.12,Ihed-4.12-Ihed-4.2,R,571
819L,819,4,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.9,O,822
819R,819,4,Intra,R,H,Ihed-4.9,Ihed-4.1-Ihed-4.9,O,1029
81L,81,1,Inter,L,H,Ihed-4.2,Ihed-4.2-Ip-4.15,O,781
81R,81,1,Inter,R,P,Ip-4.15,Ihed-4.2-Ip-4.15,O,465
825L,825,4,Alone,L,H,Ihed-4.1,Ihed-4.1,R,1034
833L,833,4,Inter,L,P,Ip-4.17,Ihed-4.15-Ip-4.17,R,597
833R,833,4,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.17,R,345
841L,841,4,Intra,L,H,Ihed-4.15,Ihed-4.15-Ihed-4.15,R,351
841R,841,4,Intra,R,H,Ihed-4.15,Ihed-4.15-Ihed-4.15,R,672
843L,843,4,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.12,R,740
843R,843,4,Inter,R,P,Ip-4.12,Ihed-4.7-Ip-4.12,R,190
846L,846,4,Alone,L,H,Ihed-4.12,Ihed-4.12,O,835
849L,849,4,Alone,L,P,Ip-4.15,Ip-4.15,O,1149
851L,851,4,Inter,L,H,Ihed-4.2,Ihed-4.2-Ip-4.18,R,1611
851R,851,4,Inter,R,P,Ip-4.18,Ihed-4.2-Ip-4.18,R,2580
852L,852,4,Inter,L,H,Ihed-4.1,Ihed-4.1-Ip-4.15,R,1749
852R,852,4,Inter,R,P,Ip-4.15,Ihed-4.1-Ip-4.15,R,3754
853L,853,4,Intra,L,H,Ihed-4.7,Ihed-4.7-Ip-4.16,R,3303
853R,853,4,Intra,R,H,Ihed-4.7,Ihed-4.7-Ip-4.16,R,1951
854L,854,4,Inter,L,P,Ip-4.12,Ihed-4.9-Ip-4.12,R,1247
854R,854,4,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.12,R,1551
855L,855,4,Alone,L,P,Ip-4.17,Ip-4.17,R,1745
856L,856,4,Inter,L,P,Ip-4.17,Ihed-4.3-Ip-4.17,R,638
856R,856,4,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.17,R,8
857L,857,4,Inter,L,P,Ip-4.12,Ihed-4.15-Ip-4.12,R,1
857R,857,4,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.12,R,557
858L,858,4,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.15,R,399
858R,858,4,Inter,R,P,Ip-4.15,Ihed-4.4-Ip-4.15,R,507
859L,859,4,Inter,L,P,Ip-4.15,Ihed-4.12-Ip-4.15,R,698
859R,859,4,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.15,R,257
861L,861,4,Inter,L,P,Ip-4.18,Ihed-4.15-Ip-4.18,R,725
861R,861,4,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.18,R,368
865R,865,4,Alone,R,H,Ihed-4.1,Ihed-4.1,R,343
867L,867,4,Alone,L,P,Ip-4.12,Ip-4.12,O,273
868L,868,4,Alone,L,P,Ip-4.18,Ip-4.18,R,42
86L,86,1,Alone,L,H,Ihed-4.1,Ihed-4.1,O,1855
870L,870,4,Intra,L,H,Ihed-4.2,Ihed-4.15-Ihed-4.2,R,186
870R,870,4,Intra,R,H,Ihed-4.15,Ihed-4.15-Ihed-4.2,R,200
871L,871,4,Intra,L,H,Ihed-4.7,Ihed-4.4-Ihed-4.7,R,114
871R,871,4,Intra,R,H,Ihed-4.4,Ihed-4.4-Ihed-4.7,R,100
872L,872,4,Inter,L,P,Ip-4.11,Ihed-4.3-Ip-4.11,R,70
872R,872,4,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.11,R,190
875L,875,4,Intra,L,H,Ihed-4.7,Ihed-4.2-Ihed-4.7,R,228
875R,875,4,Intra,R,H,Ihed-4.2,Ihed-4.2-Ihed-4.7,R,426
87L,87,1,Alone,L,H,Ihed-4.1,Ihed-4.1,R,125
880L,880,4,Alone,L,H,Ihed-4.9,Ihed-4.9,R,1019
882L,882,4,Intra,L,H,Ihed-4.4,Ihed-4.12-Ihed-4.4,R,242
