UniqId,Position,Block,Trt,LorR,Species,ML,Combos,Of_exp,Seed_Number
212R,212,1,Intra,R,H,Ihed-4.9,Ihed-4.7-Ihed-4.9,R,185
213L,213,1,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.12,R,190
213R,213,1,Inter,R,P,Ip-4.12,Ihed-4.7-Ip-4.12,R,93
227L,227,1,Inter,L,P,Ip-4.17,Ihed-4.7-Ip-4.17,R,73
227R,227,1,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.17,R,23
228L,228,1,Alone,L,H,Ihed-4.4,Ihed-4.4,O,74
22L,22,1,Alone,L,P,Ip-4.17,Ip-4.17,R,31
230L,230,1,Inter,L,P,Ip-4.17,Ihed-4.9-Ip-4.17,O,665
230R,230,1,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.17,O,484
233L,233,1,Intra,L,H,Ihed-4.3,Ihed-4.2-Ihed-4.3,R,90
233R,233,1,Intra,R,H,Ihed-4.2,Ihed-4.2-Ihed-4.3,R,54
238L,238,2,Alone,L,P,Ip-4.14,Ip-4.14,O,1576
239L,239,2,Inter,L,P,Ip-4.12,Ihed-4.4-Ip-4.12,R,106
239R,239,2,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.12,R,174
23L,23,1,Alone,L,P,Ip-4.18,Ip-4.18,R,54
240L,240,2,Intra,L,H,Ihed-4.4,Ihed-4.15-Ihed-4.4,R,272
240R,240,2,Intra,R,H,Ihed-4.15,Ihed-4.15-Ihed-4.4,R,70
244R,244,2,Inter,R,P,Ip-4.18,Ihed-4.15-Ip-4.18,R,56
246L,246,2,Alone,L,H,Ihed-4.1,Ihed-4.1,O,740
250L,250,2,Inter,L,H,Ihed-4.2,Ihed-4.2-Ip-4.15,O,429
250R,250,2,Inter,R,P,Ip-4.15,Ihed-4.2-Ip-4.15,O,453
251L,251,2,Inter,L,P,Ip-4.14,Ihed-4.1-Ip-4.14,O,374
251R,251,2,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.14,O,414
252L,252,2,Intra,L,H,Ihed-4.3,Ihed-4.3-Ihed-4.7,R,27
252R,252,2,Intra,R,H,Ihed-4.7,Ihed-4.3-Ihed-4.7,R,16
259L,259,2,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.12,R,203
259R,259,2,Inter,R,P,Ip-4.12,Ihed-4.12-Ip-4.12,R,67
25R,25,1,Alone,R,H,Ihed-4.1,Ihed-4.1,R,286
260L,260,2,Inter,L,H,Ihed-4.1,Ihed-4.1-Ip-4.16,R,44
260R,260,2,Inter,R,P,Ip-4.16,Ihed-4.1-Ip-4.16,R,60
261L,261,2,Alone,L,H,Ihed-4.4,Ihed-4.4,O,2038
262L,262,2,Inter,L,P,Ip-4.15,Ihed-4.7-Ip-4.15,R,248
262R,262,2,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.15,R,118
263L,263,2,Inter,L,P,Ip-4.13,Ihed-4.9-Ip-4.13,R,72
263R,263,2,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.13,R,225
265L,265,2,Inter,L,P,Ip-4.13,Ihed-4.4-Ip-4.13,R,81
265R,265,2,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.13,R,229
266L,266,2,Alone,L,H,Ihed-4.9,Ihed-4.9,R,29
267L,267,2,Alone,L,P,Ip-4.11,Ip-4.11,R,106
269L,269,2,Intra,L,H,Ihed-4.2,Ihed-4.1-Ihed-4.2,R,64
269R,269,2,Intra,R,H,Ihed-4.1,Ihed-4.1-Ihed-4.2,R,89
26L,26,1,Inter,L,P,Ip-4.15,Ihed-4.9-Ip-4.15,O,1000
26R,26,1,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.15,O,2498
274L,274,2,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.16,R,53
274R,274,2,Inter,R,P,Ip-4.16,Ihed-4.7-Ip-4.16,R,150
276L,276,2,Intra,L,H,Ihed-4.3,Ihed-4.1-Ihed-4.3,R,32
276R,276,2,Intra,R,H,Ihed-4.1,Ihed-4.1-Ihed-4.3,R,44
279R,279,2,Inter,R,P,Ip-4.16,Ihed-4.7-Ip-4.16,O,474
280R,280,2,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.18,R,41
281R,281,2,Alone,R,H,Ihed-4.9,Ihed-4.9,R,92
282L,282,2,Intra,L,H,Ihed-4.9,Ihed-4.15-Ihed-4.9,R,63
282R,282,2,Intra,R,H,Ihed-4.15,Ihed-4.15-Ihed-4.9,R,62
284L,284,2,Intra,L,H,Ihed-4.2,Ihed-4.2-Ihed-4.2,R,131
284R,284,2,Intra,R,H,Ihed-4.2,Ihed-4.2-Ihed-4.2,R,375
285L,285,2,Intra,L,H,Ihed-4.4,Ihed-4.4-Ihed-4.4,R,116
285R,285,2,Intra,R,H,Ihed-4.4,Ihed-4.4-Ihed-4.4,R,191
286L,286,2,Alone,L,P,Ip-4.16,Ip-4.16,R,23
287L,287,2,Inter,L,P,Ip-4.18,Ihed-4.9-Ip-4.18,R,46
288L,288,2,Inter,L,H,Ihed-4.3,Ihed-4.3-Ip-4.12,R,131
288R,288,2,Inter,R,P,Ip-4.12,Ihed-4.3-Ip-4.12,R,90
289L,289,2,Alone,L,P,Ip-4.13,Ip-4.13,R,190
291L,291,2,Intra,L,H,Ihed-4.7,Ihed-4.4-Ihed-4.7,R,125
291R,291,2,Intra,R,H,Ihed-4.4,Ihed-4.4-Ihed-4.7,R,202
