Position,UniqId,Block,Trt,ML,Species,Combos,Of_exp,TotalProjStr,AreaConvexHull,MaxWidth,rootangle_right,rootangle_left,AvAng
137,137R,1,Inter,Ip-4.12,P,Ihed-4.15-Ip-4.12,O,418.3276367,65.74073792,6.996722698,79.09999847,52.59999847,24.15000153
139,139L,1,Inter,Ip-4.16,P,Ihed-4.2-Ip-4.16,O,234.3542633,45.99378967,4.776451111,76.90000153,93.59999847,13.09999847
142,142L,1,Inter,Ip-4.15,P,Ihed-4.2-Ip-4.15,O,423.1577759,77.37126923,7.602996349,57.70000076,78.80000305,21.7499981
142,142R,1,Inter,Ihed-4.2,H,Ihed-4.2-Ip-4.15,O,187.8404236,60.79670334,8.479635239,53.5,81.09999847,22.70000077
143,143L,1,Inter,Ihed-4.12,H,Ihed-4.12-Ip-4.15,O,305.5708008,65.03694916,9.356273651,34,103,56
143,143R,1,Inter,Ip-4.15,P,Ihed-4.12-Ip-4.15,O,250.2374115,44.76415634,4.178370953,79.69999695,49.70000076,25.30000115
144,144L,1,Inter,Ihed-4.12,H,Ihed-4.12-Ip-4.18,O,304.3556519,74.54457092,8.373126984,60.79999924,71.59999847,23.80000115
144,144R,1,Inter,Ip-4.18,P,Ihed-4.12-Ip-4.18,O,304.1902466,49.39338684,4.850187302,80.69999695,80.59999847,9.35000229
145,145L,1,Inter,Ip-4.13,P,Ihed-4.9-Ip-4.13,O,374.0989075,64.65649414,8.38132,48.40000153,86.30000305,22.64999771
148,148L,1,Inter,Ip-4.14,P,Ihed-4.1-Ip-4.14,O,435.1479187,71.35641479,5.554775238,70.59999847,83.59999847,12.90000153
148,148R,1,Inter,Ihed-4.1,H,Ihed-4.1-Ip-4.14,O,262.0400391,63.89954758,8.225655556,77.59999847,82.30000305,10.04999924
149,149R,1,Inter,Ihed-4.2,H,Ihed-4.2-Ip-4.12,O,209.5302887,46.00734711,6.357677937,94.80000305,42.70000076,47.29999924
150,150L,1,Intra,Ihed-4.3,H,Ihed-4.1-Ihed-4.3,O,336.8284607,72.31117249,7.717696667,38.70000076,79.09999847,31.10000039
150,150R,1,Intra,Ihed-4.1,H,Ihed-4.1-Ihed-4.3,O,371.2909546,95.89160919,10.50327682,80.69999695,58.09999847,20.60000229
154,154L,1,Alone,Ihed-4.12,H,Ihed-4.12,O,374.6817932,79.78610229,7.627574921,56.90000153,81.69999695,20.70000076
157,157L,1,Alone,Ip-4.13,P,Ip-4.13,O,497.0246582,77.6488266,9.11868,60,85.19999695,17.40000153
