Id,Experiment,Population,Code,Species,ML,PrimaryRootLength,Angle_1,Angle_2,RootSystemWidth,AvAng,Total.Area
30,2,PA1,PA 1.3 Ip,Ip,PA 1.3 Ip,12.39081633,18.99160891,24.54631523,4.04632864,21.76896207,NA
31,1,PA3,PA 3.18 Ihed,Ihed,PA 3.18 Ihed,12.95693878,50.5274271,33.53792134,12.13510555,42.03267422,3.866
32,1,PA2,PA 2.9 Ihed,Ihed,PA 2.9 Ihed,16.38659864,32.69665661,28.97417457,8.501704156,30.83541559,3.507
32,2,PA2,PA 2.9 Ihed,Ihed,PA 2.9 Ihed,11.45721088,13.2999906,23.97834268,6.876158063,18.63916664,1.71
33,1,PA1,PA 1.18 Ihed,Ihed,PA 1.18 Ihed,17.78353741,27.77295506,23.70631152,8.888291701,25.73963329,3.242
33,2,PA2,PA 2.8 Ihed,Ihed,PA 2.8 Ihed,12.22102041,26.20067943,34.98526513,3.665907617,30.59297228,1.233
35,1,PA3,PA 3.2 Ihed,Ihed,PA 3.2 Ihed,15.35238095,27.45060954,21.77954529,6.749877808,24.61507742,1.497
36,1,PA2,PA 2.1 Ihed,Ihed,PA 2.1 Ihed,18.14904762,19.67170791,15.83418625,8.175879479,17.75294708,4.517
37,2,PA2,PA 2.11 Ihed,Ihed,PA 2.11 Ihed,9.621972789,12.22471775,31.53203618,6.15485365,21.87837697,5.020942502
38,1,PA4,PA 4.18 Ip,Ip,PA 4.18 Ip,1.255238095,40.87750822,49.53608898,6.516559252,45.2067986,2.351
38,2,PA4,PA 4.5 Ihed,Ihed,PA 4.5 Ihed,11.91340136,19.85491078,35.529975,6.360714692,27.69244289,4.365
39,1,PA2,PA 2.6 Ihed,Ihed,PA 2.6 Ihed,16.63312925,44.69888134,43.51805657,5.569041737,44.10846895,1.038
39,2,PA2,PA 2.1 Ihed,Ihed,PA 2.1 Ihed,12.38544218,26.10982877,26.95231616,7.045258887,26.53107247,4.107
40,1,PA1,PA 1.6 Ip,Ip,PA 1.6 Ip,17.06102041,40.86722315,31.56774413,7.995918847,36.21748364,NA
41,2,PA3,PA 3.7 Ihed,Ihed,PA 3.7 Ihed,11.93993197,24.65851747,44.90603901,7.399587348,34.78227824,8.406
42,1,PA4,PA 4.14 Ip,Ip,PA 4.14 Ip,13.6522449,36.46589957,42.07687574,6.532248934,39.27138765,0.981
43,1,PA2,PA 2.11 Ihed,Ihed,PA 2.11 Ihed,16.86836735,41.19492626,30.52879274,6.974778418,35.8618595,2.763
43,2,PA4,PA 4.2 Ip,Ip,PA 4.2 Ip,12.12557823,35.3046888,36.71711013,4.780898676,36.01089946,2.427
44,2,OC1,OC 1.8 Ip,Ip,OC 1.8 Ip,12.75680272,5.666133429,52.25069331,4.061320295,28.95841337,5.188742766
45,1,PA4,PA 4.4 Ihed,Ihed,PA 4.4 Ihed,10.68537415,53.09491233,41.33131356,7.426614148,47.21311294,1.001
46,2,PA4,PA 4.3 Ihed,Ihed,PA 4.3 Ihed,12.08312925,16.1582607,28.01291458,3.388599199,22.08558764,1.841
47,1,PA1,PA 1.3 Ihed,Ihed,PA 1.3 Ihed,17.24517007,44.71585294,17.0658123,7.436549207,30.89083262,1.733
47,2,PA3,PA 3.17 Ihed,Ihed,PA 3.17 Ihed,10.57319728,42.25916528,16.72747909,4.1766755,29.49332219,4.716543501
48,2,PA2,PA 2.7 Ihed,Ihed,PA 2.7 Ihed,12.00884354,26.8759246,33.72403869,6.250704343,30.29998165,5.674
