Id,Experiment,Code,Population,Species,Comment,LatRightX,LatRightY,LatLeftX,LatLeftY,PRX,PRY,PRXtip,PRYtip
138,2,PA 1.9 Ihed,PA1,Ihed,,15.8857,20.6992,3.7427,18.386,9.731,6.9552,8.3275,24.9201
139,2,PA 4.12 Ip,PA4,Ip,,10.5575,10.0611,7.0747,12.5874,9.6115,6.8486,7.2619,24.0026
14,1,OC 1.9 Ip,OC1,Ip,,24.034,23.1315,2.7549,24.8415,13.3944,17.8118,11.4945,34.9586
14,2,PA 3.14 Ihed,PA3,Ihed,,14.2145,16.5302,7.4152,13.0137,10.1365,6.7057,9.8012,24.9669
140,2,PA 3.3 Ihed,PA3,Ihed,,13.6141,19.3841,6.3002,19.2437,9.7778,6.6901,9.0137,24.3899
141,1,PA 1.8 Ip,PA1,Ip,,27.6497,18.3234,11.3631,19.823,19.4064,11.2423,18.3234,33.6187
142,1,PA 4.19 Ip,PA4,Ip,,25.7794,19.0274,10.9507,18.5442,16.3324,12.0462,17.5154,33.6228
142,2,PA 2.6 Ihed,PA2,Ihed,,14.885,9.4035,7.7271,8.6706,11.1579,6.768,8.0234,23.423
143,1,OC 1.1 Ip,OC1,Ip,,27.1082,23.2136,4.8818,20.0646,15.9492,8.7181,15.9159,12.0504
143,2,PA 1.7 Ip,PA1,Ip,,12.0936,10.4094,6.2612,7.9298,9.5829,6.8226,9.2944,7.2047
144,1,PA 2.6 Ihed,PA2,Ihed,,21.3933,17.8069,6.2855,21.9931,13.5583,11.7088,13.1709,32.5898
144,2,PA 4.3 Ihed,PA4,Ihed,,14.269,22.0039,8.5458,17.3412,10.8382,7.9688,11.462,23.8285
145,2,PA 1.15 Ihed,PA1,Ihed,,14.8616,24.2184,4.9435,19.7739,10.5731,6.0975,9.9181,21.0215
146,1,PA 1.18 Ihed,PA1,Ihed,,21.26,23.7842,7.5643,22.9678,14.2122,12.192,13.929,33.4021
146,2,PA 1.14 Ihed,PA1,Ihed,,12.8577,11.7115,4.156,21.6609,9.77,7.3217,9.9727,23.9533
147,1,PA 4.7 Ihed,PA4,Ihed,,25.3504,28.4078,8.7056,27.5414,16.9239,9.6137,17.4737,33.5728
147,2,OC 1.9 Ip,OC1,Ip,,13.848,11.0877,4.6472,12.5224,10.3782,6.7447,11.2671,24.6862
148,1,PA 3.7 Ihed,PA3,Ihed,,17.3696,20.4561,7.7226,22.6304,11.6963,16.7823,12.796,18.1318
15,1,PA 1.6 Ip,PA1,Ip,,24.1765,24.6515,2.8974,26.7414,13.157,14.3444,14.1069,36.2885
15,2,PA 4.12 Ip,PA4,Ip,,11.922,10.5419,8.9903,20.3977,10.8928,8.0234,8.9591,24.1638
151,1,PA 1.12 Ihed,PA1,Ihed,,23.8259,24.7131,9.3304,17.0488,15.516,10.0843,16.5157,33.6603
152,1,PA 2.9 Ihed,PA2,Ihed,,22.3305,17.4445,10.2593,23.7301,15.7326,10.8341,18.0819,33.5395
152,2,PA 2.8 Ihed,PA2,Ihed,,11.2047,13.6297,6.2612,23.501,9.8948,7.6024,8.6004,24.9357
153,1,OC 1.7 Ip,OC1,Ip,,23.7801,19.7313,9.6595,16.9197,15.5202,11.3714,15.8326,25.9419
153,2,PA 1.5 Ihed,PA1,Ihed,,13.9571,17.848,5.3957,14.2456,10.0819,8.8031,11.9376,23.8519
154,1,PA 2.5 Ihed,PA2,Ihed,,21.8099,32.6606,7.1603,30.1156,15.1828,12.721,15.8575,33.3646
154,2,PA 4.11 Ip,PA4,Ip,,12.3405,10.5419,6.768,19.4204,9.8454,7.6231,10.5107,24.9097
155,2,PA 1.2 Ihed,PA1,Ihed,,14.2534,16.2184,1.6374,17.6375,9.1384,8.9903,6.5965,24.8422
156,1,PA 1.12 Ip,PA1,Ip,,21.0643,17.2654,13.6832,18.4151,15.2911,11.2007,18.2651,31.6276
157,1,PA 1.4 Ip,PA1,Ip,,20.3853,20.9143,10.5634,17.1321,14.5621,14.2997,15.995,33.4604
157,2,PA 1.12 Ihed,PA1,Ihed,,13.3879,16.4055,7.0098,10.5731,9.3801,8.2261,9.7232,24.4367
158,1,PA 1.5 Ihed,PA1,Ihed,,22.8304,21.1184,8.0683,18.9191,15.3285,11.7547,16.1783,33.5145
158,2,PA 1.3 Ip,PA1,Ip,,10.885,10.6043,4.7875,13.0527,9.5751,7.0487,5.6764,23.7037
159,1,PA 4.15 Ihed,PA4,Ihed,,21.7849,23.4468,9.2554,21.3642,16.7073,12.1462,15.5576,32.4898
159,2,PA 1.6 Ip,PA1,Ip,,12.156,8.0156,7.9376,24.0884,9.9104,6.885,7.8363,24.3275
16,1,PA 4.15 Ip,PA4,Ip,,19.0942,20.7091,5.0348,23.559,14.2969,16.5768,16.5768,31.7762
16,2,OC 1.9 Ip,OC1,Ip,,15.1657,13.2242,7.6959,12.8031,10.7291,6.1755,11.0721,24.8577
160,1,PA 1.3,PA1,Ip,,19.9271,23.0303,12.1962,18.9816,16.474,10.4176,20.9601,32.494
160,2,OC 1.7 Ip,OC1,Ip,,14.8616,16.3015,5.9337,12.6238,10.1131,7.0721,9.2242,8.1482
161,1,PA 4.5 Ihed,PA4,Ihed,,24.0008,25.6295,5.9731,20.6144,15.1578,11.2465,16.3324,33.6395
162,2,PA 4.2 Ihed,PA4,Ihed,,13.8626,17.9396,6.1978,23.7363,10.6731,6.8984,9.1154,25.6896
163,2,PA 2.11 Ihed,PA2,Ihed,,12.761,12.4121,8.2115,24.4231,11.2885,7.3352,10.772,8.0165
164,1,PA 1.12 Ihed,PA1,Ihed,,24.9755,24.9839,5.4483,29.4991,16.5282,13.9373,17.6445,33.6811
164,2,PA 4.19 Ip,PA4,Ip,,14.1676,14.1511,7.3984,14.7308,10.4423,7.772,10.0302,25.5495
165,1,PA 3.14 Ihed,PA3,Ihed,,20.3853,21.7765,7.2227,18.5442,14.6413,10.9674,13.9915,33.5562
166,1,OC 1.6 Ip,OC1,Ip,,21.8807,17.7694,4.4236,21.7307,15.6826,9.9677,18.4651,33.5603
167,1,PA 3.2 Ihed,PA3,Ihed,,27.2498,16.928,14.7912,18.3443,23.2052,8.4099,20.3062,33.702
168,1,PA 4.14 Ip,PA4,Ip,,16.0117,22.2555,7.2977,23.5052,13.475,18.2485,11.4589,33.627
168,2,PA 1.7 Ip,PA1,Ip,,13.6071,13.3022,7.706,9.9725,10.1951,7.7473,9.9808,26.3242
169,2,PA 1.18 Ihed,PA1,Ihed,,14.2665,18.9808,3.7665,16.6401,9.7335,8.4808,8.9918,26.1676
17,1,PA 3.17 Ihed,PA3,Ihed,,21.3266,20.6141,9.4996,21.2316,14.5819,13.8219,13.7744,33.2961
170,1,PA 4.18 Ip,PA4,Ip,,17.8153,17.1238,6.4522,18.64,13.3167,13.1917,16.399,33.652
170,2,PA 4.1 Ihed,PA4,Ihed,,10.6374,17.2088,4.5275,21.5385,9.6923,6.1538,9.4615,6.8791
171,1,PA 1.12 Ihed,PA1,Ihed,,23.4718,22.9637,9.0097,25.213,16.0325,10.6217,17.0822,33.6645
171,2,OC 1.8 Ip,OC1,Ip,,13.1209,9.6813,8.5275,13.8132,10.9121,8.1868,11.3297,25.5165
172,1,PA 4.3 Ihed,PA4,Ihed,,20.4311,24.0425,10.1843,26.3668,14.8828,9.597,16.3824,11.5464
172,2,PA 2.4 Ihed,PA2,Ihed,,14.456,13.4835,3.8571,12.7747,9.8984,6.544,8.8599,25.0879
173,1,PA 3.7 Ihed,PA3,Ihed,,23.2177,17.6695,5.1484,21.7432,14.6579,8.3224,14.8579,10.5217
173,2,PA 1.3 Ihed,PA1,Ihed,,16.1071,18.7582,5.1923,19.2033,11.1346,7.8544,10.2115,26.456
174,1,PA 4.2 Ihed,PA4,Ihed,,26.9582,18.9399,12.846,27.5039,19.8563,8.6598,21.4225,33.702
175,1,PA 2.1 Ihed,PA2,Ihed,,22.872,19.9354,14.0581,26.7833,16.0408,8.0558,17.2904,10.0052
176,1,PA 1.18 Ihed,PA1,Ihed,,22.2306,18.9566,9.3096,21.1559,15.7326,9.1971,17.0822,33.4895
176,2,PA 3.17 Ihed,PA3,Ihed,,12.8489,13.1209,7.8049,12.6758,10.3104,8.0275,9.1071,25.7802
177,1,PA 2.8 Ihed,PA2,Ihed,,17.0613,23.2011,13.4458,14.0206,14.1456,13.1709,14.7454,14.0873
178,2,OC 1.9 Ip,OC1,Ip,,13.9533,13.8462,7.4698,12.8571,10.4341,7.5659,8.1593,24.9231
179,1,PA 4.19 Ip,PA4,Ip,,16.1033,23.4885,5.0734,19.0732,8.7889,13.425,8.1558,15.1411
18,1,OC 1.1 Ip,OC1,Ip,,19.6167,18.0968,4.9398,21.7541,14.2494,13.1095,16.1018,30.3512
18,2,PA 4.16 Ip,PA4,Ip,,13.0475,13.4633,8.4107,8.9097,10.0429,7.1215,9.076,24.4211
180,1,PA 1.4 Ip,PA1,Ip,,21.764,21.8057,10.1843,22.2431,15.9325,15.5326,16.5823,33.5145
180,2,PA 4.5 Ihed,PA4,Ihed,,16.0659,13.9148,4.1703,14.5467,10.1621,6.7665,10.1786,8.0852
181,2,PA 4.1 Ihed,PA4,Ihed,,17.7033,17.6044,5.2253,22.6978,11.3901,6.7253,9.2967,26.4231
183,2,PA 3.17 Ihed,PA3,Ihed,,16.544,17.7253,5.9066,23.1648,11.2308,7.1429,9.6044,25.2637
184,1,PA 1.8 Ip,PA1,Ip,,27.0416,19.8855,14.3955,19.1315,20.9185,13.3333,21.8182,33.552
184,2,PA 4.13 Ip,PA4,Ip,,14.8681,18.2747,8.8132,19.3242,11.2995,9.1236,10.5082,25.8626
185,2,PA 2.1 Ihed,PA2,Ihed,,13.3269,12.0989,8.7775,21.2473,11.1676,7.5577,10.6071,25.5495
186,1,PA 3.14 Ihed,PA3,Ihed,,21.2309,19.3315,11.9171,27.3956,15.3994,9.7678,17.682,33.5937
187,1,PA 3.17 Ihed,PA3,Ihed,,24.3632,25.3796,7.1519,25.9127,17.3904,13.8332,16.9572,33.677
187,2,OC 1.6 Ip,OC1,Ip,,14.2225,19.4615,7.8929,10.3297,11.3764,7.5962,9.5522,25.978
188,1,PA 2.4 Ihed,PA2,Ihed,,22.418,16.5448,12.4961,23.3427,16.7198,12.9959,17.7445,33.5395
188,2,PA 4.15 Ihed,PA4,Ihed,,15.4451,12.1484,6.2555,15.9725,10.9038,6.956,8.3654,25.7637
189,1,PA 4.15 Ip,PA4,Ip,,20.931,15.2286,7.6018,18.9108,15.316,10.8091,15.0661,33.4354
189,2,OC 1.7 Ip,OC1,Ip,,13.9396,16.5467,7.7198,17.3049,10.9945,7.3269,10.6099,8.1841
19,1,PA 4.3 Ihed,PA4,Ihed,,21.4691,23.2265,4.6548,27.8813,14.2969,15.0569,14.1544,35.0061
19,2,PA 1.14 Ihed,PA1,Ihed,,14.8382,16.9357,6.1209,20.3977,11.1267,7.5088,8.8655,25.3724
190,1,OC 1.5 Ip,OC1,Ip,,23.4427,25.1671,6.5813,24.0508,14.4663,12.192,12.4836,33.6228
190,2,PA 3.2 Ihed,PA3,Ihed,,16.3462,19.1538,8.2363,17.9341,10.7857,7.6154,11.5934,25.5714
191,1,PA 2.7 Ihed,PA2,Ihed,,16.0033,18.0985,4.3736,17.5445,10.3218,10.5717,9.1221,33.3646
193,1,PA 2.6 Ihed,PA2,Ihed,,21.385,17.0863,9.5887,18.6525,14.9287,11.0757,17.2696,32.8314
194,2,OC 1.1 Ip,OC1,Ip,,13.1538,12.544,4.4835,15.4451,9.8489,7.7088,10.0247,9.4341
195,1,PA 1.3 Ihed,PA1,Ihed,,23.9675,24.8714,13.8207,22.4888,15.5701,11.7422,15.8034,13.2917
196,2,OC 1.1 Ip,OC1,Ip,,15.1841,10.8269,4.8462,12.5687,10.0055,6.9973,9.6923,17.3324
197,1,PA 1.3 Ihed,PA1,Ihed,,19.3065,26.4292,8.9347,21.0059,12.9834,14.8329,14.433,33.577
198,1,PA 2.7 Ihed,PA2,Ihed,,22.5929,20.3436,8.6598,30.0781,15.6076,12.2337,17.2821,33.627
198,2,PA 4.18 Ip,PA4,Ip,,13.3434,10.3187,8.1676,10.022,11.0852,7.3764,9.6016,25.3022
2,1,PA 2.5 Ihed,PA2,Ihed,,23.749,24.2715,4.2273,19.8067,13.6319,14.7719,14.7244,35.6235
2,2,PA 1.1 Ip,PA1,Ip,,12.3431,8.9097,7.0409,12.2625,9.3256,7.6413,10.0741,24.5147
20,1,PA 4.3 Ihed,PA4,Ihed,,22.4666,23.4165,3.4674,29.6863,13.7744,11.447,14.1069,34.4836
200,2,PA 4.17 Ip,PA4,Ip,,13.8544,10.9121,9.0165,9.0247,10.7637,7.2445,9.3791,21.7665
201,1,PA 3.3 Ihed,PA3,Ihed,,21.8432,23.8426,6.9978,22.6596,14.2872,11.8963,16.5365,33.5062
201,2,PA 1.14 Ihed,PA1,Ihed,,14.6374,21.2967,5.044,23.9176,10.6071,7.7885,8.7445,25.8132
202,1,OC 1.3 Ip,OC1,Ip,,20.5436,23.3927,10.9216,29.6157,15.945,16.095,17.2196,22.2431
202,2,PA 3.7 Ihed,PA3,Ihed,,16.1703,14.7033,4.6896,19.9698,10.8791,7.4835,9.1648,25.9121
203,1,OC 1.9 Ip,OC1,Ip,,24.1175,22.3055,5.2983,21.5058,14.8329,13.2084,12.9335,33.5645
203,2,PA 2.7 Ihed,PA2,Ihed,,15.956,15.0659,6.783,20.1016,10.9698,6.4286,10.1951,25.3929
204,2,PA 2.5 Ihed,PA2,Ihed,,15.4038,17.4973,6.3626,13.4505,12.3297,6.8901,10.8132,25.8791
205,1,PA 1.15 Ihed,PA1,Ihed,,23.401,22.6221,10.3051,22.872,18.0694,11.1757,16.1033,32.2024
206,1,PA 2.5 Ihed,PA2,Ihed,,18.9399,25.7128,9.7428,17.732,14.0456,7.6976,13.5958,33.5395
206,2,PA 3.18 Ihed,PA3,Ihed,,16.2308,15.022,8.5824,11.3516,10.9341,7.2005,11.6044,25.9341
207,1,PA 4.7 Ihed,PA4,Ihed,,23.1178,22.9178,8.8097,29.8657,15.1078,14.2955,15.6076,33.5895
207,2,PA 1.3 Ihed,PA1,Ihed,,16.8242,17.6566,6.6044,12.9423,11.0989,6.7995,10.5824,26.0522
208,1,PA 4.5 Ihed,PA4,Ihed,,24.9547,16.12,14.6329,17.7445,20.2312,10.1468,20.4061,33.5895
208,2,PA 4.13 Ip,PA4,Ip,,12.8324,10.5467,8.4313,9,10.8544,6.9231,10.0632,25.294
209,1,PA 1.9 Ihed,PA1,Ihed,,21.0309,20.2895,6.8853,25.8211,15.1703,9.8761,13.904,12.4586
209,2,PA 4.15 Ip,PA4,Ip,,12.4176,9.7665,10.9231,7.9973,11.4505,7.283,11.1319,10.3929
21,1,PA 4.4 Ihed,PA4,Ihed,,22.7516,28.5463,3.8473,23.084,15.3894,13.5844,13.8219,35.386
21,2,PA 4.15 Ihed,PA4,Ihed,,12.9305,11.8961,7.2671,9.2632,10.0741,7.1735,9.5127,19.5868
210,1,OC 1.5 Ip,OC1,Ip,,25.3338,20.4561,4.4903,24.0883,15.6076,10.1593,17.1072,33.6353
210,2,OC 1.7 Ip,OC1,Ip,,15.4863,16.8626,4.8709,23.6209,11.3984,7.706,5.5632,25.0055
211,1,PA 2.9 Ihed,PA2,Ihed,,17.8611,13.6541,12.7127,11.5047,15.012,10.4551,16.5282,33.4146
212,1,PA 4.12 Ip,PA4,Ip,,18.5359,19.823,12.3711,25.7211,16.3449,11.8463,16.1575,14.7454
212,2,OC 1.1 Ip,OC1,Ip,,17.3736,18.0082,5.1593,12.5192,10.9945,6.1566,10.5,6.9643
213,1,PA 2.1 Ihed,PA2,Ihed,,20.5436,25.9169,11.084,20.0937,16.8947,16.145,18.8941,33.3396
214,2,PA 2.6 Ihed,PA2,Ihed,,13.0494,11.0934,8.511,12.0165,10.9121,9.0989,8.8681,26.5055
215,1,PA 4.1 Ihed,PA4,Ihed,,26.0252,21.2059,10.1218,20.9934,17.3196,8.8097,14.5829,28.9035
215,2,PA 1.3 Ihed,PA1,Ihed,,14.9505,17.3242,4.5165,18.0659,10.3764,6.717,9.5604,25.5824
216,1,PA 2.2 Ihed,PA2,Ihed,,23.476,21.9348,9.9885,17.1696,17.7736,8.5057,15.6493,33.6561
216,2,PA 4.9 Ihed,PA4,Ihed,,16.4011,16.5,4.9121,16.0385,9.9396,7.7885,8.8022,25.5824
217,2,PA 1.4 Ihed,PA1,Ihed,,14.3077,10.7802,6.7253,19.6154,12.206,7.1126,9.272,25.6319
218,2,PA 3.18 Ihed,PA3,Ihed,,15.1978,14.1593,6.3187,22.5549,10.0055,6.5275,9.2885,25.1951
219,1,PA 4.4 Ihed,PA4,Ihed,,23.5052,18.7816,9.8094,16.9447,15.7576,6.8729,15.3952,33.602
219,2,PA 1.7 Ip,PA1,Ip,,13.706,12.6648,8.1896,13.1703,11.7363,8.0852,10.6154,26.1758
22,1,PA 4.9 Ihed,PA4,Ihed,,20.8991,25.9339,6.9822,19.0467,12.017,14.3444,11.7795,36.526
22,2,PA 1.12 Ip,PA1,Ip,,13.0085,17.1384,3.9298,16.5614,9.3567,7.7037,9.9181,25.1384
220,1,PA 2.8 Ihed,PA2,Ihed,,14.6912,32.7731,7.2769,24.3091,10.9591,16.6281,12.8585,33.5229
220,2,PA 2.6 Ihed,PA2,Ihed,,13.5577,12.4286,8.4725,9.206,11.6621,6.75,12.7418,20.8434
221,2,PA 1.9 Ihed,PA1,Ihed,,14.1429,11.033,8.033,24.2857,11.3379,7.2857,12.0632,8.0659
222,1,PA 1.7 Ip,PA1,Ip,,19.8313,18.4817,9.522,25.492,15.8575,14.7329,16.3824,18.5442
222,2,PA 4.9 Ihed,PA4,Ihed,,15.1731,12.4038,7.5797,15.7005,12.4313,7.206,11.0247,7.3269
223,2,PA 2.4 Ihed,PA2,Ihed,,14.4725,11.8269,7.1209,16.4753,11.2418,6.5522,10.9615,7.4753
224,1,PA 2.4 Ihed,PA2,Ihed,,20.8102,22.0639,7.9975,23.3802,15.4202,12.0587,14.4038,15.1911
224,2,PA 1.5 Ihed,PA1,Ihed,,18.6813,21.8791,4.6813,14.6813,11.011,6.4615,11.3077,25.5495
225,1,PA 4.19 Ip,PA4,Ip,,18.2943,21.9182,11.1965,19.6064,14.4455,12.4836,17.6195,22.518
225,2,PA 4.18 Ip,PA4,Ip,,15.2555,13.9368,8.2747,10.2527,11.7033,7.3187,10.7473,25.022
226,1,PA 3.3 Ihed,PA3,Ihed,,20.6102,19.6064,9.497,23.4552,15.6284,15.1244,17.1946,33.6187
226,2,PA 2.5 Ihed,PA2,Ihed,,14.9341,20.3242,6.1813,17.1593,12,7.9368,8.5879,26.0275
227,2,PA 4.18 Ip,PA4,Ip,,14.7033,9.6429,7.8379,23.3324,11.8516,6.3132,6.4368,25.2775
228,1,PA 2.2 Ihed,PA2,Ihed,,21.8682,32.1774,9.7595,20.4561,15.9325,11.284,17.3321,33.502
228,2,PA 4.14 Ip,PA4,Ip,,12.4698,11.0522,6.7995,11.6786,10.294,7.3764,8.0769,25.2527
23,1,PA 3.1 Ihed,PA3,Ihed,,18.1442,27.7863,5.1298,22.989,11.5895,18.0968,8.3597,35.861
230,1,PA 3.9 Ihed,PA3,Ihed,,22.8554,22.4305,10.9341,16.4324,15.9992,11.4214,16.3157,32.9314
231,2,PA 3.14 Ihed,PA3,Ihed,,13.7885,14.4396,6.8324,21.0907,11.5797,6.3214,11.5137,6.8159
232,2,PA 1.12 Ihed,PA1,Ihed,,16.3187,16.5659,6.3462,18.6429,11.4643,6.5604,10.3434,26.0275
233,1,PA 4.2 Ihed,PA4,Ihed,,22.4191,20.3292,11.3045,32.1087,18.5717,12.967,16.8618,35.196
234,2,PA 1.12 Ip,PA1,Ip,,12.7995,8.1264,8.283,9.5275,11.0522,6.1813,10.1291,6.3956
237,1,PA 4.16 Ip,PA4,Ip,,20.9893,20.327,12.5003,18.3651,16.0325,16.0991,17.7153,20.3978
238,1,PA 4.13 Ip,PA4,Ip,,18.3443,19.8063,10.9716,25.9669,16.2074,18.8691,14.283,33.5895
239,1,PA 4.1 Ihed,PA4,Ihed,,22.9762,23.9175,8.9805,20.9351,14.458,11.9088,14.8579,33.1271
24,1,PA 4.15 Ihed,PA4,Ihed,,21.5641,25.2215,11.162,24.6515,16.2443,20.2342,15.6744,34.1986
240,1,PA 4.1 Ihed,PA4,Ihed,,19.9771,23.1303,7.0811,23.8134,14.6871,13.8248,14.937,33.1022
241,1,PA 3.7 Ihed,PA3,Ihed,,24.0425,24.3466,7.9059,23.5343,14.0206,10.5509,14.3372,12.5003
242,1,PA 4.15 Ihed,PA4,Ihed,,16.7864,14.2372,11.738,20.352,14.4788,12.6377,15.8784,33.4645
245,1,PA 1.12 Ip,PA1,Ip,,16.7406,17.9944,7.7434,24.4257,11.259,14.8953,12.0254,29.3908
247,1,PA 1.2 Ihed,PA1,Ihed,,20.4311,17.9486,9.5845,18.0152,15.4493,8.085,14.9995,9.1013
249,1,PA 4.16 Ip,PA4,Ip,,22.3805,16.7323,13.9581,24.0925,18.9691,9.8719,22.443,27.7288
25,1,PA 4.11 Ip,PA4,Ip,,23.4165,24.129,5.8898,26.4089,13.9644,14.6294,14.6294,35.2435
250,1,PA 1.12 Ip,PA1,Ip,,21.0851,17.9361,9.2263,21.0059,16.599,13.5833,18.665,31.6443
